,Name,Academic (1),Affiliations
40153,roberto samaniego,1,department of economics george washington university
40154,patrick sevestre,1,aix-marseille school of economics (amse)
40155,anamaria diana sova,0,(50%) academy of economic studies in bucharest
40156,daniel samano,0,bank of mexico
40157,benoît sévi,1,laboratory of economics and management of nantes-atlantique (lemna) institute of economics and management of nantes (iae) university of nantes
40158,robert aurelian sova,0,bucharest academy of economic studies (bucharest academy of economic studies)
40159,ioannis samantas,1,center of financial studies department of economics national and kapodistrian university of athens
40160,almudena sevilla,1,(75%) school of business and management queen mary university of london
40161,yhlas sovbetov,1,london school of commerce
40162,don isuru janaranjana samaranayake,1,department of economics and statistics university of peradeniya
40163,j.p. sevilla,0,john m. olin center for law
40164,michelle sovinsky,1,"department of economics, university of mannheim"
40165,parakrama amarenath samaratunga,0,institute of policy studies of sri lanka
40166,orhun sevinc,0,türkiye cumhuriyet merkez bankası
40167,mousse ndoye sow,1,center of studies and research on international development (cerdi) school of economics university of auvergne (clermont-ferrand 1)
40168,višnja samardžija,0,institute for development and international relations (irmo)
40169,kozeta sevrani,0,fakulteti ekonomise universiteti i tiranës
40170,nii kwaku sowa,0,(50%) african economic research consortium
40171,nahla samargandi,1,department of economics faculty of economics and management king abdul aziz university
40172,sewando,0, 
40173,fallaw sowell,1,department of economics tepper school of business administration carnegie mellon university
40174,anna samarina,0,de nederlandsche bank
40175,thomas a. seward,0, 
40176,rhiannon sowerbutts,0,bank of england
40177,mark samborsky,0,finance canada government of canada
40178,hajime seya,1,graduate school for international development and cooperation hiroshima university
40179,antoni soy,1,faculty of economics and business university of barcelona
40180,evangelos sambracos,1,department of economics university of piraeus
40181,atılım seymen,0,german bundesbank
40182,baris soybilgen,1,faculty of economics and administrative sciences istanbul bilgi university
40183,sally anne sambrook,1,bangor business school bangor university
40184,reyno seymore,1,(50%) department of economics faculty of economic and management sciences university of pretoria
40185,katja soyez,1,faculty of economics university of science and technology dresden
40186,anya savikhin samek,1,(90%) center for economic and social research university of southern california
40187,richard seymour,1,bankwest curtin economy center curtin business school curtin university
40188,arif orçun söylemez,0,ingilizce iktisat bölümü iktisat fakültesi marmara üniversitesi
40189,dov samet,1,recanati school of business tel aviv university
40190,françoise seyte,1,montpellier laboratory of theoretical and applied economics (lameta) faculty of economics university of montpellier i
40191,ugurlu soylu,1,"department of economics, university of mannheim"
40192,morteza sameti,1,department of economics florida state university
40193,selami sezgin,1,faculty of economics and administrative sciences osmangazi university
40194,mehmet ali soytas,1,özyeğin university (ozyegin university)
40195,hind sami,0,conceptualization of action in situations (coactis)
40196,alessandro sforza,1,centre for economic performance (cep) london school of economics (lse)
40197,ugur soytas,1,(47%) faculty of economics and administrative sciences middle eastern technical university
40198,janesh sami,1,college of business
40199,fabio sforzi,1,department of economy faculty of economics university of parma studies
40200,william space,0, 
40201,mina sami ayad,0,faculty of law
40202,claudio sfreddo,1,institute of applied macroeconomics (créa) faculty of business and economics (hec) university of lausanne
40203,miléna spach,1,center of economy of the sorbonne university paris 1 (pantheon-sorbonne)
40204,hossein samiei,0,international monetary fund (imf)
40205,asma sghaier,1,higher institute of management of sousse university of sousse
40206,amedeo spadaro,1,(50%) department of applied economics faculty of economics and business studies university of the balearic islands
40207,cyrus samii,1,new york university politics department
40208,nadia sghaier,0,institute for the preparation of administration and management (ipag)
40209,michael spagat,0,department of economics royal holloway
40210,emma samman,0,overseas development institute
40211,silvia sgherri,0,international monetary fund (imf)
40212,fabio spagnolo,1,department of economics and finance brunel university
40213,andre sammartino,1,department of management and marketing faculty of business and economics university of melbourne
40214,alessandra sgobbi,0,european commission - joint research centre - institute for energy and transport
40215,giancarlo spagnolo,0,(90%) the stockholm institute of transition economics and east european economies (site) handelshögskolan i stockholm
40216,robert wayne samohyl,1,federal university of santa catarina
40217,francesca sgobbi,1,university of brescia - dimi - department of mechanical and industrial engineering
40218,nicola spagnolo,0, 
40219,regina samoilova (bazaleva),0,russian presidential academy of national economy and public administration (ranepa)
40220,paolo sgrignoli,1,laboratory of economics and management (lem) high school sant'anna
40221,paul bernd spahn,0,faculty of science goethe universität frankfurt am main
40222,val samonis,1,(42%) royal roads university
40223,pasquale m sgro,1,department of economics business school deakin university
40224,peter spahn,1,institute of economics faculty of economics and social sciences university of applied sciences
40225,borys samorodov,1,kharkiv institute of banking university of banking of the national bank of ukraine
40226,valentina sgro,0,department of law
40227,george s. spais,1,school of social sciences hellenic open university
40228,nicholas lawrence samouilhan,1,school of economics faculty of commerce university of cape town
40229,daniel sgroi,1,department of economics university of warwick
40230,jiří špalek,0,ekonomicko - správní fakulta masarykova univerzita
40231,svetlana a. samovoleva,0,central economics and mathematics institute (cemi) russian academy of sciences (ras)
40232,karam adib shaar,1,fakulti economy and management university son malaysia (upm)
40233,marina-eliza spaliara,1,(70%) department of economics adam smith business school university of glasgow
40234,gabriele sampagnaro,1,"department of business studies and economics university of naples studies - ""parthenope"""
40235,mimoza shabani,1,(50%) economics department university of east london
40236,stefano spalletti,1,university of macerata - department of political science
40237,breno sampaio,1,department of economics university of illinois at urbana-champaign
40238,shahbaz shabbir,0,department of management science comsats institute of information technology
40239,marco spallone,1,"department of economics university of the studies of chieti and pescara (""g of announcement"")"
40240,antonio rodriguez sampayo,1,department of fundamentals of economic analysis faculty of economic and business sciences university of santiago de compostela
40241,sarosh shabi,1,school of management swansea university
40242,federico spandonaro,1,"department of economics and finance faculty of economics university of roma studies ""tor vergata"""
40243,james robert sampi,0,international bank for reconstruction & development (ibrd) world bank group
40244,leonard shabman,0,resources for the future (rff)
40245,morten spange,0,danmarks nationalbank
40246,juan sampieri,1,graduate school in business administration and management (egade) technology institute and higher education in monterrey (itesm)
40247,nadia shabnam,0,department of statistics
40248,martin spann,0,faculty of business management ludwig-maximilians-university munich
40249,christopher james sampson,1,university of nottingham
40250,валентина ивановна шабунина,0,institute of economics russian academy of sciences (ras)
40251,francesco spano,0,economy department
40252,gabriel sampson,1,department of agricultural economics kansas state university
40253,aleksandra anatolyevna shabunova,0,institute of socio-economic development of territories (isedt) russian academy of sciences (ras)
40254,aris spanos,1,department of economics virginia polytechnic institute and state university (virginia tech)
40255,sovannroeun samreth,0,埼玉大学教養学部 (faculty of liberal arts
40256,or shachar,0,federal reserve bank of new york
40257,loukas spanos,1,department of economics national and kapodistrian university of athens
40258,anne-laure samson,1,laboratory of economy and management of health organizations (legos) laboratory of economics of dauphine (leda) university paris-dauphine (paris ix)
40259,jason shachat,1,department of economics and finance business school durham university
40260,lisa spantig,0,economics faculty ludwig-maximilians-university munich
40261,ivan samson,1,(25%) management research laboratory (larequoi) university of versailles - saint-quentin-en-yvelines
40262,yochanan shachmurove,1,"department of economics 
city college 
city university of new york (cuny)"
40263,simona spanu,0,the faculty of agricultural sciences
40264,warren j. samuels,0, 
40265,douglas a. shackelford,0, 
40266,chad sparber,1,(98%) department of economics colgate university
40267,larry samuelson,1,economics department yale university
40268,mark b. shackleton,1,department of accounting and finance management school lancaster university
40269,fabrizio spargoli,1,department of finance rotterdam school of management (rsm erasmus university) erasmus universityiteit rotterdam
40270,paul a. samuelson,0, 
40271,wasel bin shadat,1,school of economics university of manchester
40272,gordon sparks,1,economics department queen's university
40273,andrew samwick,1,(50%) economics department dartmouth college
40274,fatemeh shadman,1,(66%) school of economic sciences of louvain catholic university of louvain
40275,david sparling,0, 
40276,yiagadeesen samy,1,norman paterson school of international affairs carleton university
40277,mehdi shafaeddin,0, 
40278,robert sparrow,1,(79%) study group development economics wageningen university and research center
40279,el fessi ep ben ammar sana,1,faculty of economics and management university of carthage
40280,sherrill shaffer,1,(90%) department of economics and finance college of business university of wyoming
40281,clive l. spash,1,department socioeconomy wu economics university vienna
40282,elioth sanabria,1,faculty of economics university of the andes
40283,m. najeeb shafiq,1,(50%) graduate school of public and international affairs (gspia) university of pittsburgh
40284,nikola spatafora,0,research department international monetary fund (imf)
40285,tino sanandaji,0,institute for economic and business history research (ehff) handelshögskolan i stockholm
40286,islam md. shafiqul,0, 
40287,mariana spatareanu,0,department of economics rutgers university-newark
40288,cynthia ann sanborn,1,academic department of economy university of the pacific
40289,aric shafran,1,economics area orfalea college of business california polytechnic state university
40290,luca spataro,1,(50%) department of economics and management university of pisa studies
40291,alessio sancetta,0, 
40292,natalia shagaida,0,(95%) russian presidential academy of national economy and public administration (ranepa)
40293,silvia spataru,0,the faculty of cybernetics
40294,daniel r. sanches,0,research department federal reserve bank of philadelphia
40295,"igor lvovich shagalov, sr.",1,laboratory for applied analysis of institutions and social capital national research university higher school of economics
40296,charalambos spathis,1,department of economics aristotle university of thessaloniki
40297,alan sanchez,0,(90%) development analysis group (grade)
40298,ajay shah,0,national institute of public finance and policy
40299,julius spatz,0, 
40300,cristina sánchez,0, 
40301,akash shah,0,economics indian institute of technology kanpur
40302,nicholas spaull,1,department of economics fakulteit ekonomies en bestuurswetenskappe university of stellenbosch
40303,efraín arango sánchez,0,faculty of economics
40304,anwar shah,0,world bank group
40305,luigi spaventa,0, 
40306,esther m. sánchez,0, 
40307,anwar shah,1,department of economics quaid-i-azam university
40308,anthony spawton,0, 
40309,gabriel sanchez,0,inter-american development bank
40310,attaullah shah,0,institute of management sciences
40311,filippo spazzini,0, 
40312,gerardo sánchez,0,"institute de historia argentina y americana ""dr. emilio ravignani"
40313,chandra shah,1,(50%) centre for the economics of education and training (ceet) monash university
40314,stephen spear,1,department of economics tepper school of business administration carnegie mellon university
40315,josé miguel sánchez,1,institute of economics faculty of economic and administrative science pontifical catholic university of chile
40316,deepak shah,0,gokhale institute of politics and economics (gipe)
40317,alan spearot,1,economics department university of california-santa cruz (ucsc)
40318,juan m. sanchez,0,research division federal reserve bank of st. louis
40319,imran hussain shah,1,centre for public economics (cpe) department of economics university of bath
40320,dean spears,1,department of economics university of texas-austin
40321,juana sanchez,1,university of california los angeles - department of statistics (university of california los angeles -department of statistics)
40322,kalim u. shah,0, 
40323,stefan soenke speckesser,1,department of economics and quantitative methods westminster business school university of westminster
40324,manuel ordóñez sánchez,0,department of applied mathematics ii
40325,koonal k. shah,0,(80%) office of health economics
40326,david spector,1,paris school of economics
40327,rafael sanchez,1,business school university adolfo ibáñez
40328,manisha shah,1,luskin school of public affairs university of california-los angeles (ucla)
40329,lee c. spector,1,department of economics ball state university
40330,raul sanchez,0,(88%) center for distributive studies
40331,mohamed eskandar shah,0,international center for education in islamic finance (inceif)
40332,zsolt spéder,0,ksh népességtudományi kutató intézet (hungarian demographic research institute)
40333,susana m. sanchez,0,world bank group
40334,syed akhter hussain shah,0,pakistan institute of development economics
40335,mark speece,1,college of business and economics american university of kuwait
40336,blanca sanchez-alonso,1,(80%) faculty of economic and business sciences university san pablo ceu
40337,quazi shahabuddin,0,bangladesh institute of development studies
40338,jamin speer,1,department of economics fogelman college of business and economics university of memphis
40339,diego sánchez-ancochea,1,department of international development (queen elizabeth house) oxford university
40340,mohammed issa shahateet,1,king talal faculty of business and technology princess sumaya university for technology
40341,johanna speer,0,department for agrarian economics institute for agronomy and horticulture humboldt-universität berlin
40342,mabel sánchez barrioluengo,0,joint research center european commission
40343,muhammad shahbaz,0,(90%) department of management science comsats institute of information technology
40344,ann o'ryan spehar,1,economics university of alaska southeast
40345,edgar j sánchez carrera,1,faculty of economics autonomous university of san luis potosí
40346,kiumars shahbazi,1,department of economics urmia university
40347,bradley james speigner,0,bank of england
40348,julio sanchez choliz,1,faculty of economics and business university of zaragoza
40349,farzana shaheen,1,school of economic sciences federal urdu university of arts
40350,a. michael spence,1,economics department stern school of business new york university (nyu)
40351,maría ángeles sánchez domínguez,1,faculty of economic and business sciences university of granada
40352,rozina shaheen,1,school of business and economics loughborough university
40353,barbara spencer,1,(94%) strategy and business economics division sauder school of business university of british columbia
40354,patricio sánchez-fernández,1,(90%) gen - governance and economics research network faculty of business and tourism university of vigo
40355,syed nisar hussain shah hamdani,1,kashmir institute of economics university of azad jammu and kashmir
40356,byron grant spencer,1,department of economics mcmaster university
40357,antonio jesus sanchez fuentes,1,(50%) department of applied economics vi (public finance and tax system) faculty of economic and business sciences university complutense de madrid
40358,muhammad sadiq shahid,1,institute of management sciences bahauddin zakariya university
40359,christopher spencer,1,school of business and economics loughborough university
40360,josé r. sánchez-fung,1,business school university of nottingham
40361,sohaib shahid,0,(50%) international economics section the graduate institute of international and development studies
40362,david e. spencer,1,department of economics brigham young university
40363,carlos sánchez-gonzález,1,(90%) esai business school
40364,md shahiduzzaman,1,school of accounting
40365,jennifer spencer,1,school of business george washington university
40366,julián sánchez-gonzález,1,department of economic analysis: economic theory and economic history faculty of economic and business sciences autonomous university of madrid
40367,asghar shahmoradi,0,international monetary fund (imf)
40368,michael a. spencer,1,department of economics minnesota state university
40369,andrés sánchez jabba,0,center of regional economic studies (ceer) bank of the republic of colombia
40370,lubna shahnaz,0, 
40371,nekeisha spencer,1,(50%) department of economics state university of new york-binghamton (suny)
40372,isaac sánchez-juárez,1,department of social sciences autonomous university of ciudad juárez
40373,shosh shahrabani,1,department of economics and finance emek yezreel academic college
40374,peter damian spencer,1,(95%) department of economics and related studies university of york
40375,fernando sánchez-losada,1,(50%) department of economics faculty of economics and business university of barcelona
40376,shibly shahrier,1,school of management kochi university of technology
40377,jc spender,1,(23%) business school open university
40378,jose ignacio sanchez-macias,1,department of applied economics faculty of law university of salamanca
40379,manuchehr shahrokhi,1,craig school of business california state university-fresno
40380,dominic e. spengler,1,centre for experimental economics department of economics and related studies university of york
40381,josé sánchez maldonado,1,department of public finance faculty of economic and business sciences university of malaga
40382,syed jawad hussain shahzad,0,(50%) department of management science comsats institute of information technology
40383,hannes spengler,0,"research-based infrastructure ""socio-economic panel (soep)"" diw berlin (german institute for economic research)"
40384,rocío sánchez-mangas,1,department of economic analysis: quantitative economics faculty of economic and business sciences autonomous university of madrid
40385,saleem shaik,1,department of agribusiness and applied economics north dakota state university
40386,jörg l. spenkuch,1,managerial economics and decision sciences (meds) kellogg graduate school of management northwestern university
40387,virginia sanchez-marcos,1,faculty of economic and business sciences university of cantabria
40388,anwar shaikh,1,department of economics new school for social research the new school
40389,benjamin sperisen,1,department of economics tulane university
40390,alfonso ramon sanchez martin,1,department of economics university pablo de olavide
40391,azeem m. shaikh,1,department of economics university of chicago
40392,stefan sperlich,1,geneva school of economics and management université de genève
40393,miguel eduardo sánchez-martín,0,world bank group
40394,imlak shaikh,0,department of humanities and social sciences indian institute of technology bombay
40395,yvonne sperlich,1,geneva school of economics and management université de genève
40396,fernando ignacio sanchez martinez,1,department of applied economics faculty of economics and business university of murcia
40397,mujaheed shaikh,1,frankfurt school of finance and management
40398,lena lindbjerg sperling,1,økonomiske institut copenhagen business school
40399,dennis sanchez-navarro,0,ministry of commerce and industry superintendence
40400,salman ahmed shaikh,1,universiti kebangsaan malaysia (national university of malaysia)
40401,alexander spermann,0,economics faculty albert-ludwigs-universität freiburg
40402,santiago sánchez-pagés,1,(95%) department of political economy king's college
40403,greg shailer,1,college of business and economics australian national university
40404,fernanda queiroz sperotto,0,foundation of economy and statistics siegfried emanuel heuser (fee) government of rio grande do sul
40405,alfonso sánchez-peñalver,1,lock haven university
40406,kirill shakhnov,0,(50%) einaudi institute for economics and finance (eief)
40407,joanne spetz,0,philip r. lee institute for health policy studies
40408,"joss erick sanchez, dr.",1,faculty of economics autonomous university of san luis potosí
40409,ruvim shakhnovich,1,siberian university of consumer cooperation
40410,judith spicksley,1,department of economics and related studies university of york
40411,rosario sánchez pérez,1,department of economic analysis faculty of economics university of valencia
40412,elena shakina,1,(50%) national research university higher school of economics
40413,mark m spiegel,0,economic research federal reserve bank of san francisco
40414,maria laura sanchez puerta,0,institute of labor economics (iza)
40415,jonathan shalev,0, 
40416,eli spiegelman,1,(ukam) (88%) research center on employment and economic fluctuations (crefé) school of management sciences (esg) university of québec in montréal (uqam)
40417,mauricio sanchez puerta,1,department of economics faculty of economics university of antioquia
40418,haim shalit,1,economics department ben gurion university of the negev
40419,peter spiegler,1,department of economics university of massachusetts-amherst
40420,javier sanchez-reaza,0,organization for economic co-operation and development (oecd)
40421,jay c. shambaugh,1,(90%) department of economics george washington university
40422,ran spiegler,1,(50%) department of economics university college london (ucl)
40423,blanca sanchez-robles,1,faculty of economic and business sciences national university of distance education
40424,farkhanda shamim,0, 
40425,david j. spielman,0,international food policy research institute (ifpri)
40426,miguel sanchez-romero,0,(50%) vienna institute of demography austrian academy of sciences
40427,ahmed shamiri,1,national university of malaysia- school of mathematical science
40428,christian spielmann,1,department of economics university college london (ucl)
40429,josé manuel sánchez-santos,1,department of applied economics i faculty of economy and company university of coruña
40430,maral shamloo,0,bank of canada
40431,gilles spielvogel,0,(90%) directorate for employment
40432,andrés felipe sánchez segura,0,national department of planning government of colombia
40433,khadija shams,0, 
40434,guy selmar spier,1,department of economics oxford university
40435,fabio sanchez torres,1,(50%) faculty of economics university of the andes
40436,yarim shamsan,0, 
40437,julia christina spies,0,international trade centre united nations
40438,roberto mauricio sanchez torres,1,(75%) faculty of economics university of la salle
40439,gina louise shamshak,1,department of economics goucher college
40440,philip spies,1,(50%) department of economics fakulteit ekonomies en bestuurswetenskappe university of stellenbosch
40441,ernesto sanchez-triana,0,world bank group
40442,"shahaboddin shamshirband, sr.",0,department of computer system & technology (shahaboddin shamshirband)
40443,katharina christa spiess,0,"research-based infrastructure ""socio-economic panel (soep)"" diw berlin (german institute for economic research)"
40444,miguel a. sanchez villalba,0, 
40445,anastasiya shamshur,1,norwich business school university of east anglia
40446,vincenzo spiezia,0,directorate for science
40447,chris william sanchirico,1,university of pennsylvania -> law school
40448,azam shamsi,1,degroote school of business mcmaster university
40449,seymour spilerman,0, 
40450,james sanchirico,1,(90%) department of agricultural and resource economics university of california-davis
40451,mohammad shamsuddoha,1,curtin business school curtin university
40452,antonio spilimbergo,0,(25%) center for economic policy research (cepr)
40453,rosa sanchis-guarner,1,(60%) spatial economics research centre (serc) london school of economics (lse)
40454,shinaj valangattil shamsudheen,0,international center for education in islamic finance (inceif)
40455,leonidas spiliopoulos,1,school of economics and business school unsw (australia)
40456,manuel sanchis i marco,1,faculty of economics university of valència
40457,sh sofia devi,1,department of economics maharaja sayajirao university of baroda
40458,stella n. spilioti,0, 
40459,amparo sanchis-llopis,1,(50%) department of economic structure faculty of economics university of valencia
40460,chenyu shan,1,shanghai advanced institute of finance (saif) shanghai jiao tong university
40461,aristotelis spiliotis,0,bank of greece
40462,juan a. sanchis llopis,1,(50%) department of economic structure faculty of economics university of valencia
40463,hui shan,0,federal reserve board (board of governors of the federal reserve system)
40464,jörg spiller,1,economics faculty european university viadrina frankfurt (or)
40465,maria teresa sanchis llopis,1,institute figuerola of history and social sciences university carlos iii of madrid
40466,yaping shan,1,school of economics university of adelaide
40467,pablo t. spiller,1,walter a. haas school of business university of california-berkeley
40468,ferran sancho,1,unit of foundations of economic analysis department of economics and economic history autonomous university of barcelona barcelona graduate school of economics (barcelona gse)
40469,martin shanahan,1,(90%) school of commerce business school university of south australia
40470,brenda c. spillman,0,urban institute
40471,mark sanctuary,1,department of economics business school in stockholm
40472,mathew donald shane,0,economic research service department of agriculture government of the united states
40473,martin spindler,0,münchener center for economics and demographic change max-planck-institute for social justice and social policy max-planck-gesellschaft
40474,benjamin maclean sand,1,department of economics york university
40475,baoping shang,0,international monetary fund (imf)
40476,zane a. spindler,0, 
40477,jan yngve sand,1,(99%) university college of economics in tromsø
40478,han lin shang,1,school of finance
40479,franco spinelli,1,department of economics department of economics and management university of brescia studies
40480,leif kristoffer sandal,1,institute of business economics norway's business school (nhh)
40481,hua (helen) shang,1,research institute of economics and management southwestern university of finance and economics (swufe)
40482,mauro spinelli,0,centers for industrial studies (csil)
40483,åke sandberg,1,stockholms universitet - sociologiska institutionen (stockholm university - department of sociology)
40484,xia shang,1,department of agricultural economics kansas state university
40485,luca spinesi,1,university roma3 (university rome3)
40486,joakim sandberg,1,(50%) gothenburg university
40487,corey a shank,1,department of economics and finance college of business and entrepreneurship university of texas-rio grande valley
40488,sinziana spiridon,1,"faculty of economics and business administration university ""al.i cuza"""
40489,justin sandefur,0,center for global development (cgd)
40490,bhavani shankar,0,centers for development
40491,daniel spiro,1,business school at hioa university college in oslo and akershus
40492,rickard sandell,1,department of social sciences university carlos iii of madrid
40493,kameshwari shankar,1,department of economics city college city university of new york (cuny)
40494,peter s. spiro,1,school of public policy and governance university of toronto
40495,harald sander,1,"faculty of economics and law, university of applied sciences"
40496,rashmi shankar,0, 
40497,andre spithoven,0,belgian science policy
40498,priit sander,0,economics faculty of economics
40499,sriram shankar,1,school of business university of western sydney
40500,alexandra spitz-oener,0,(25%) economics faculty humboldt-universität berlin
40501,anthony b. sanders,1,w.p. carey school of business arizona state university
40502,venkatesh shankar,1,mays business school texas a&m university
40503,lawrence m. spizman,1,economics department state university of new york-oswego (suny)
40504,carl sanders,1,department of economics washington university in st. louis
40505,jay shanken,0,national bureau of economic research (nber)
40506,james r. spletzer,0,center for economic studies census bureau department of commerce government of the united states
40507,mark walter johan louis sanders,1,tjalling c. koopmans research institute school of economics universiteit utrecht
40508,subramanian shanmugasundaram,0,indian institute of management
40509,david splinter,0,joint committee on taxation united states congress government of the united states
40510,nicholas j. sanders,1,(99%) department of policy analysis and management college of human ecology cornell university
40511,chris shannon,0, 
40512,petr spodniak,0,(90%) economic and social research institute (esri)
40513,shane dustin sanders,1,department of economics western illinois university
40514,jevaveerasingam shanthikumar,1,shanghai advanced institute of finance (saif) shanghai jiao tong university
40515,mark spoerer,0,universität regensburg
40516,lynda sanderson,0,ministry of business
40517,rajaratnam shanthini,0,department of chemical & process engineering
40518,enrico spolaore,1,(98%) department of economics tufts university
40519,rohnn sanderson,1,school of business brescia university
40520,bayuni shantiko,0,cifor
40521,kenneth spong,0,federal reserve bank of kansas city
40522,warren c. sanderson,1,(75%) economics department stony brook university - suny
40523,enchuan shao,1,department of economics university of saskatchewan
40524,thomas spoorenberg,0,united nations population division
40525,orjan sandewall,0,institute for business research (ifn)
40526,lin shao,0,bank of canada
40527,thomas l. sporleder,0,department of agricultural
40528,jeremy sandford,1,department of economics carol martin gatton college of business and economics university of kentucky
40529,mingliang frank shao,1,school of economics henan university
40530,michael sposi,0,globalization and monetary policy institute economic research department federal reserve bank of dallas
40531,manjit singh sandhu,1,school of business monash university
40532,xiaofeng shao,0, 
40533,john michael spraggon,1,department of resource economics university of massachusetts-amherst
40534,ana-maria sandica,0,the academy of economic studies in bucharest
40535,yuchen shao,1,school of business nanjing university
40536,aldo spranzi,0,economy department
40537,roger james sandilands,1,economics department university of strathclyde
40538,philip shapira,1,(25%) school of public policy georgia institute of technology
40539,marta spreafico,1,institute of economic policy departments and institutes of economic sciences catholic university of the sacred heart
40540,alexander-nikolai sandkamp,1,(50%) ifo institut - leibniz institute for economic research at the university munich e.v.
40541,adam hale shapiro,0,economic research federal reserve bank of san francisco
40542,reinhard spree,0,economics faculty ludwig-maximilians-university munich
40543,danielle h. sandler,0,center for economic studies census bureau department of commerce government of the united states
40544,alexander shapiro,0,georgia institute of technology
40545,thomas h. spreen,1,food and resource economics department university of florida
40546,ryan sandler,0,bureau of economics federal trade commission government of the united states
40547,carl shapiro,1,walter a. haas school of business university of california-berkeley
40548,thomas luke spreen,1,school of public and environmental affairs indiana university
40549,todd sandler,1,department of economics university of texas-dallas
40550,jesse shapiro,1,economics department brown university
40551,jaap spreeuw,1,cass business school city university
40552,guido sandleris,1,escuela de negocios (school of business) universidad torcuato di tella (tella university torcuato)
40553,joel shapiro,0, 
40554,carsten sprenger,1,new economic school (nes)
40555,klaus sandmann,1,"quantitative finance research centre 
finance discipline group 
business school 
university of technology sydney"
40556,matthew d. shapiro,1,economics department university of michigan
40557,ekaterina sprenger,0,german central library of economics - leibniz-informationszentrum wirtschaft (zbw)
40558,malte sandner,1,science faculty leibniz university hannover
40559,perry shapiro,1,department of economics university of california-santa barbara (ucsb)
40560,steven david sprick schuster,1,department of economics colgate university
40561,marina sandomirskaia,1,center for market studies and spatial economics saint petersburg branch national research university higher school of economics
40562,teny maghakian shapiro,1,department of economics santa clara university
40563,maresa sprietsma,0,center for european economic research (zew)
40564,joel sandonis,1,department of fundamentals of economic analysis faculty of economic and business sciences university of alicante
40565,lloyd s. shapley,0, 
40566,nicu sprincean,1,"faculty of economics and business administration university ""al.i cuza"""
40567,lászló sándor,1,(47%) department of economics harvard university
40568,shahla shapouri,0,economic research service department of agriculture government of the united states
40569,matthew g. springer,1,peabody college of vanderbilt university
40570,gustavo adolfo sandoval,1,faculty of economy foundation university of america
40571,александр шаповал,1,(66%) national research university higher school of economics
40572,florian springholz,0,institute for the complete analysis of the economy johannes-kepler-university linz
40573,luis sandoval,0, 
40574,mesbah fathy sharaf,1,department of economics university of alberta
40575,jaap spronk,1,rotterdam school of management (rsm erasmus university) erasmus universiteit rotterdam
40576,luis eduardo sandoval garrido,0,faculty of economics
40577,mahin sharif,1,department of agricultural economics university of agricultural sciences
40578,michael sproul,1,department of economics university of southern california
40579,aldo sandoval hernández,1,department of economics university of western ontario
40580,shadi sharif azadeh,0, 
40581,robert a. sproule,1,department of economics bishop's university
40582,charlotte sandoz,0,(90%) bank of france
40583,hosein sharifi-renani,0, 
40584,rok spruk,0,ekonomska fakuteta univerza v ljubljani
40585,damiano sandri,0,research department international monetary fund (imf)
40586,andreas sharik,1,faculty of economics science university of chemnitz
40587,yves sprumont,1,(50%) department of economics university of montreal
40588,marco sandri,0, 
40589,william w. sharkey,0,federal communications commission (fcc) government of the united states
40590,maren sprutacz,0,joint research center european commission
40591,ronald douglas sands,0,economic research service department of agriculture government of the united states
40592,abhijit sharma,1,(34%) imperial college london
40593,john arthur spry,1,finance department university of st. thomas
40594,astrid marie jorde sandsør,0,(50%) nordic institute for studies of innovation
40595,ajay sharma,0,(70%) indian institute of management
40596,cristi marcel spulbar,1,faculty of economics and business administration university of craiova
40597,mikael sandström,0, 
40598,akhilesh k. sharma,1,banaras hindu university
40599,daniel f. spulber,1,kellogg graduate school of management northwestern university
40600,ulf sandström,0,department of industrial economics and organization (index) royal institute of technology (kth)
40601,amarendra sharma,1,elmira college
40602,stephen josiah spurr,1,department of economics wayne state university
40603,antonio sandu,0,asociatia lumen (lumen association)
40604,anand sharma,0,deptt of computer science & it
40605,eleftherios spyromitros,1,(95%) department of economics democritus university of thrace
40606,steliana sandu,0,institute of national economy national institute of economic research (ince) romanian academy
40607,anupa sharma,0, 
40608,spyros spyrou,1,department of accounting and finance athens university of economics and business (aueb)
40609,francesco domenico sandulli,1,department of organization of faculty of economic and business sciences university complutense of madrid
40610,anurag sharma,1,(80%) centre for health economics monash business school monash university
40611,jay squalli,1,department of economics school of business management american university of sharjah
40612,kristin sandusky,0, 
40613,basu sharma,0, 
40614,mara p. squicciarini,0,licos center for institutions and economic performance faculteit economie en bedrijfswetenschappen ku leuven
40615,bjørn sandvik,1,institute of economics university of the mountains
40616,dr. chanchal kumar sharma,1,(50%) central university of haryana
40617,mariagrazia squicciarini,0,directorate for science
40618,robert sandy,1,department of economics indiana university-purdue university (iupui)
40619,chandan sharma,0,indian institute of management
40620,francesco squintani,1,department of economics university of warwick
40621,wilfried sand-zantman,1,(50%) research group in mathematical and quantitative economics (gremaq) toulouse school of economics (tse)
40622,damini sharma,1,dyal singh college
40623,lyn squire,0, 
40624,renuka sane,0,planning unit indian statistical institute
40625,dhruv sharma,0,treasury government of australia
40626,david alexandre sraer,1,(50%) department of economics university of california-berkeley
40627,viviane sanfelice,1,economics department university of rochester
40628,divesh s. sharma,1,coles college of business kennesaw state university
40629,mohamed mounir sraieb,0,european center for advanced research in economics and statistics (ecares) solvay brussels
40630,peter sanfey,0,european bank for reconstruction and development (ebrd)
40631,gaurav sharma,1,navsari agricultural university
40632,samir srairi,1,business school of tunis university of la manouba
